chunks,pages
"Claimant: Arthur Miller | SSN: 456-12-7890 Level: Hearing | Claim type: T16
Alleged onset: 07/01/2022 | Last Insured: Application: 07/14/2022 | Last Changed:
05/21/2024
A. Payment Documents/Decisions
Title
Decision Date
Pg
1A: Disability Determination Explanation - DDE Received: Prior to Hearing 15
2A: Disability Determination Transmittal - 831
Received: Prior to Hearing
1
3A: Disability Determination Explanation - DDE Received: Prior to Hearing
8
4A: Disability Determination Transmittal - 831
Received: Prior to Hearing
1
B. Jurisdictional Documents/Notices
Title
Document
Date
Pg
1B: SSA-1696 - Claimant's Appointment of a Representative -
1696
07/14/2022
4
2B: Fee Agreement for Representation before SSA -
FEEAGRMT
07/14/2022
1
3B: T16 Notice of Disapproved Claim - L444
04/28/2023
6
4B: Inf",0.0
"RMT
07/14/2022
1
3B: T16 Notice of Disapproved Claim - L444
04/28/2023
6
4B: Informal Request for Reconsideration - INFRECON
05/12/2023
1
5B: T16 Disability Reconsideration Notice - L1130
08/30/2023
4
6B: T16 Disability Reconsideration Notice - L1130
08/30/2023
4
7B: Hearing Agreement Form - HRNGAGREEFRM
09/08/2023
1
8B: Informal Request for Hearing by ALJ - INFHEAR
09/08/2023
1
9B: Outgoing ODAR Correspondence - OUTODARC
09/28/2023
4
10B: Request for Hearing Acknowledgement Letter - HRGACK 09/29/2023
19
11B: Hearing Notice - 507
02/05/2024
14
12B: Acknowledge Notice of Hearing - 504
03/05/2024
6
13B: Notice Of Hearing Reminder - HA503
05/06/2024
4
14B: Hearing Agreement Form - HRNGAGREEFRM
05/20/2024
1
",0.0
"D. Non-Disability Development
Title
Document
Date
Pg
1D: Lead Protective Filing Worksheet - LPFWKSHT
07/14/2022
3
2D: Internet: Third-Party Filers Wet Signature Page -
3RDPTYWETSIG
07/27/2022
13
3D: Application for Supplemental Security Income Benefits -
8000
08/15/2022
7
4D: Certified Earnings Records - CERTERN
02/26/2024
3
5D: Summary Earnings Query - SEQY
02/26/2024
2
6D: Detailed Earnings Query - DEQY
02/26/2024
9
7D: New Hire, Quarter Wage, Unemployment Query (NDNH) -
NDNH
02/26/2024
1
E. Disability Related Development
Title
Source
Treatment Date Pg
1E: Disability Report - Field Office - 3367 FO
08/15/2022
2
2E: Work History Report - 3369
Arthur Miller
08/15/2022
7
3E: Disability Report - Adult - 3368
Eleanor R Walker 08/15/2022
7
4E: Function Report - Adult - 3373
Arthur Miller
12/09",1.0
"nor R Walker 08/15/2022
7
4E: Function Report - Adult - 3373
Arthur Miller
12/09/2022
9
5E: Disability Report - Appeals - 3441
Eleanor R Walker 05/18/2023
6
6E: Disability Report - Field Office - 3367 FO
05/18/2023
2
E. Disability Related Development - cont.
Title
Source
Treatment
Date
Pg
7E: Function Report - Adult - 3373
Arthur Miller
07/26/2023
8
8E: Disability Report - Appeals - 3441
Emily Miller
09/21/2023
6
9E: Disability Report - Field Office - 3367
FO
09/21/2023
2
10E: Exhibit List to Rep PH2E -
EXHIBITLISTREP
Cityville Appeals
Office
02/29/2024
21
11E: Representative Correspondence -
REPLTR
Legal Advocates for
the Disabled
04/02/2024
1
",1.0
"Title
Source
Treatment
Date
Pg
12E: Resume of Vocational Expert -
VERESUM
MARIA RODRIGUEZ
05/14/2024
2
13E: Correspondence regarding efforts to
obtain evidence - EALTR
Appeals Division
05/20/2024
1
F. Medical Records
Title
Source
Treatment Date
Pg
1F: Medical Source - No MER
Available - MEDNOMER
METRO HEALTH &
WELLNESS #1
01/16/2023
6
2F: Hospital Records - HOSPITAL Willow Creek Medical
Center
09/15/2022-01/18/2023 19
3F: Office Treatment Records -
OFFCREC
METRO HEALTH &
WELLNESS #2
09/15/2022-01/26/2023 11
4F: HIT MER - HITMER
Unity Care Clinic
02/09/2023
3
5F: Hospital Records - HOSPITAL Central Plains
Medical Center
01/27/2023-02/09/2023 91
6F: Office Treatment Records -
OFFCREC
METRO WELLNESS
CLINIC
01/26/2023-04/13/2023 14
7F: Medical Source - No MER
Available - MEDNOMER
METRO WELLNES",2.0
"023-04/13/2023 14
7F: Medical Source - No MER
Available - MEDNOMER
METRO WELLNESS
CLINIC
04/20/2023
12
8F: Office Treatment Records -
OFFCREC
Sterling Health Clinic 07/21/2021-07/06/2023 34
9F: HIT MER - HITMER
Unity Care Clinic
02/26/2024
3
10F: Office Treatment Records -
OFFCREC
Sterling Health Clinic 07/06/2023-07/07/2023 16
",2.0
"Disability Determination Explanation
This Disability Determination Explanation is for the DI claim at the Initial level.
CLAIMANT INFORMATION
Name: Arthur Miller SSN: 456-12-7890 Phone Number: (773) 555-9876 Secondary
Phone Number Address:
Mailing
Residence
789 OAK AVE 789 OAK AVE
CHICAGO, IL CHICAGO, IL 60601 - 1001
60601
Claimant Gender: M Self Reported Height: 65 inches Self Reported Weight: 160.0
lbs BMI: 26.6 Special Indications: None.
RELEVANT DATES
Below table represents the Relevant Dates
Date of
Birth
Current Age
AOD
Age at AOD
DFI DLI
Age
at
DLI
Blind
DLI
05/21/1965
57 years 11
months
(Advanced age)
07/01/2022
57 years 1
month
(Advanced age)
Back to top 2 of 15: 1A: Disability Determination Explanation - DDE
Does the individual have an attorney/appointed representative? Yes
Repre",3.0
"n - DDE
Does the individual have an attorney/appointed representative? Yes
Representative's name, address and phone number: Eleanor Rose Walker 1789
MAIN STREET STE 201 ANYTOWN, CA 90210 (310) 555-0189
ALLEGATIONS OF IMPAIRMENTS
The individual filed for Initial claim for disability on 07/14/2022 due to the
following illnesses, injuries or conditions: Car accident in 2012; Chronic hip pain;
",3.0
"Nerve damage related to neck area; Insomnia due to pain; Difficulty sitting and
standing; Herniated discs in back; LEFT SIDE OF BODY WENT NUMB;
The individual alleges inability to function and/or work as of 07/01/2022
TECHNICAL ISSUES
Is the individual working? No
Is Presumptive Disability/Presumptive Blindness appropriate for this claim? No
Prior Electronic Filings
Prior
Electronic
Filing
Claim
Level
Claim
Type
Initial Status
Application
Filing Date
Protective
Filing
Date
Determination
or Decision
Date
AC
Remand
Date
1
Initial DI
Closed06/18/2013
10/01/2013
Disclaimer: The Determination or Decision Date in the table above is propagated
from the Decision Date field in eView, and may be later than the date on the
Determination or Decision notice. A Determination or Decision (initial or revi",4.0
"e
Determination or Decision notice. A Determination or Decision (initial or revised)
is final as of the date of the notice. Refer to DI 27501.001A for exceptions.
Back to top 3 of 15: 1A: Disability Determination Explanation - DDE
Alleged Onset Date: 07/01/2022
Has the individual performed work after the Alleged Onset Date(AOD)? No
Has any period(s) of work been determined to be an unsuccessful work attempt,
or involved subsidies/special conditions, impairment-related work expenses, or
other technical issue(s)? No
EVIDENCE OF RECORD
The following initial evidence has been received
Source of Evidence: METRO WELLNESS CLINIC EF Received: 04/26/2023 Medical
Opinion: No Evidence Type: MER Level: Initial
Source of Evidence: METRO WELLNESS CLINIC EF Received: 04/19/2023 Medical
Opinion: No Eviden",4.0
"idence: METRO WELLNESS CLINIC EF Received: 04/19/2023 Medical
Opinion: No Evidence Type: MER Level: Initial
Source of Evidence: Central Plains Medical Center EF Received: 03/08/2023
Medical Opinion: No Evidence Type: MER Level: Initial
",4.0
"Source of Evidence: Unknown Name EF Received: 02/22/2023
Back to top 4 of 15: 1A: Disability Determination Explanation - DDE
Medical Opinion No
Evidence Type
5002 ROC
Level
Initial
Source of Evidence Metro Health & Wellness Center
EF Received
02/17/2023
Medical Opinion
No
Evidence Type
MER
Level
Initial
Source of Evidence Unknown Name
EF Received
02/09/2023
Medical Opinion
No
Evidence Type
5002 ROC
Level
Initial
Source of Evidence Metro Health & Wellness Center
EF Received
02/09/2023
Medical Opinion
No
Evidence Type
MER
Level
Initial
Source of Evidence Unity Care Clinic
EF Received
02/09/2023
Medical Opinion
No
Evidence Type
HIT MER
Level
Initial
Source of Evidence Unknown Name
EF Received
02/06/2023
Medical Opinion
No
Evidence Type
5002 ROC
Level
Initial
Source of Evidence Unknown Name
EF",5.0
"inion
No
Evidence Type
5002 ROC
Level
Initial
Source of Evidence Unknown Name
EF Received
02/06/2023
Medical Opinion
No
",5.0
"Source of Evidence Unknown Name
Evidence Type
5002 ROC
Level
Initial
5 of 15: 1A: Disability Determination Explanation - DDE
Level
Initial
Source of Evidence Unity Care Clinic
EF Received
02/06/2023
Medical Opinion
No
Evidence Type
HIT Response
Level
Initial
Source of Evidence Unity Care Clinic
EF Received
02/03/2023
Medical Opinion
No
Evidence Type
HIT Response
Level
Initial
Source of Evidence Unknown Name
EF Received
01/26/2023
Medical Opinion
No
Evidence Type
5002 ROC
Level
Initial
Source of Evidence Willow Creek Medical Center
EF Received
01/26/2023
Medical Opinion
No
Evidence Type
MER
Level
Initial
Source of Evidence Metro Health & Wellness Center
EF Received
01/18/2023
Medical Opinion
No
Evidence Type
MER
Level
Initial
Source of Evidence Unknown Name
EF Received
12/28/2022
Medical Op",6.0
"
Level
Initial
Source of Evidence Unknown Name
EF Received
12/28/2022
Medical Opinion
No
",6.0
"Source of Evidence Unknown Name
Evidence Type
5002 ROC
Level
Initial
Back to top 6 of 15: 1A: Disability Determination Explanation - DDE
Source of Evidence Unknown Name
EF Received
12/13/2022
Medical Opinion
No
Evidence Type
5002 ROC
Level
Initial
Source of Evidence Unknown Name
EF Received
12/09/2022
Medical Opinion
No
Evidence Type
3373-Funct Rprt-Adult
Level
Initial
Source of Evidence Unknown Name
EF Received
08/15/2022
Medical Opinion
No
Evidence Type
3369-Work Hx
Level
Initial
Source of Evidence WELLNESS CONSULTANTS LTD
EF Received
09/28/2013
Medical Opinion
No
Evidence Type
MER
Level
Initial
The following evidence has been requested:
Source of Evidence
EF Request Date Level
Metro Health & Wellness Center 04/18/2023
Initial
Central Plains Medical Center
03/08/2023
Initial
Metro Health",7.0
"04/18/2023
Initial
Central Plains Medical Center
03/08/2023
Initial
Metro Health & Wellness Center 03/08/2023
Initial
Central Plains Medical Center
02/22/2023
Initial
Metro Health & Wellness Center 02/22/2023
Initial
Unknown Name
01/26/2023
Initial
",7.0
"Source of Evidence
EF Request Date Level
Midwest Rehabilitation Center
01/19/2023
Initial
Willow Creek Medical Center
01/19/2023
Initial
Metro Health & Wellness Center 01/11/2023
Initial
Metro Health & Wellness Center 12/28/2022
Initial
Unknown Name
12/27/2022
Initial
Unknown Name
12/27/2022
Initial
Back to top 7 of 15: 1A: Disability Determination Explanation - DDE
Unknown Name
Date
Initial
Unknown Name
12/27/2022 Initial
Unknown Name
12/09/2022 Initial
Unknown Name
11/28/2022 Initial
Unknown Name
11/28/2022 Initial
Unknown Name
11/28/2022 Initial
Unknown Name
11/28/2022 Initial
RIVER CITY HEALTH CLINIC 11/10/2022 Initial
RIVER CITY HEALTH CLINIC 10/27/2022 Initial
CLAIM COMMUNICATIONS
No general claim communications have been created.
CONSULTATIVE EXAMINATION(S) (CE)
Is a CE(s) required?",8.0
"cations have been created.
CONSULTATIVE EXAMINATION(S) (CE)
Is a CE(s) required?
No
FINDINGS OF FACT AND ANALYSIS OF EVIDENCE
Analysis
INITIAL:
Claimant is 57 years old, 12th grade education with past work.
",8.0
"Upon review of evidence it is determined claimant has NO MDI for mental and a
light physical RFC (SEE PRTF/RFC).
A finding regarding the capacity for past relevant work has not been made.
However, this information is not material because all potentially applicable med-
voc guidelines direct a finding of not disabled given the claimant's age, education
and RFC.
Claim denied.
416 - WELLNESS CONSULTANTS LTD
Back to top No 416-Medical Evaluation have been associated with this claim.
MEDICALLY DETERMINABLE IMPAIRMENTS AND
SEVERITY (MDI)
ADULT MEDICALLY DETERMINABLE IMPAIRMENTS (MDI)
Does the individual have one or more medically determinable impairments? Yes
IMPAIRMENT
7150 - Osteoarthrosis and Allied Disorders
                                     PRIORITY           SEVERITY
                   ",9.0
"                                 PRIORITY           SEVERITY
                                     Primary            Severe
PSYCHIATRIC REVIEW TECHNIQUE (PRT)
PRT1
Indicate whether this Psychiatric Review Technique (PRT) assessment is for:
Current Evaluation
No mental medically determinable impairments established
PRT - ADDITIONAL EXPLANATION
INITIAL: Claimant is 58 years old. Primary allegations appear physical. CLMT also
indicates he had problems reading math and comprehension in school. No school
",9.0
"MER available. Application notes he obtained a 12th grade education. Exams note
he is oriented X 3 with calm mood/affect. There is no evidence of current
participation in formal OP psych tx or use of psych Rx. ADLs - prepares simple
meals; completes household chores; some personal care issues due to physical;
walks, shops; watches TV and socializes. No MDI for mental issues.
These findings complete the medical portion of the disability determination.
MC/PC Signature
Dr. Elara Vance (038) 04/22/2023 9 of 15: 1A: Disability Determination Explanation
- DDE
ADULT LISTINGS CONSIDERED
Listing Description
Subsection
1.18
Abnormality of a Major Joint(s) in Any Extremity
ADULT MEDICAL DISPOSITION
RFC Assessment Necessary (Physical and/or Mental)
ASSESSMENT OF POLICY ISSUES
SYMPTOMS EVALUATION
List ",10.0
"y (Physical and/or Mental)
ASSESSMENT OF POLICY ISSUES
SYMPTOMS EVALUATION
List the claimant's symptoms:
Pain Weakness
Can one or more of the individual's medically determinable impairment(s)
(MDI(s)) reasonably be expected to produce the individual's pain or other
symptoms?
Yes
Are the individual's statements about the intensity, persistence, and functionally
limiting effects of the symptoms substantiated by the objective medical evidence
alone?
No
",10.0
"When considering the following factors, which were the most informative in
assessing the consistency of the individual's statements about their symptom
related limitations with all the evidence in file?
ADLs Longitudinal treatment records
What is your assessment of the consistency of the individual's statements
regarding symptoms considering the total medical and non-medical evidence in
file?
Partially Consistent
Back to top 10 of 15: 1A: Disability Determination Explanation - DDE
Assessment of consistency regarding symptom related limitations: The evidence
in file does not support the level of severity alleged and statements are felt to be
partially consistent.
EVALUATING MEDICAL OPINIONS
There is no indication that there is a medical opinion from any medical source.
RESIDUAL FUNCTIONAL C",11.0
"n that there is a medical opinion from any medical source.
RESIDUAL FUNCTIONAL CAPACITY
PHYSICAL RESIDUAL FUNCTIONAL CAPACITY ASSESSMENT
RFC1
Indicate whether this Physical Residual Functional Capacity (RFC) assessment is
for:     Current Evaluation
Does the individual have exertional limitations?     Yes
Rate the individual's exertional limitations:
Occasionally (occasionally is cumulatively 1/3 or less of an 8 hour day) lift and/or
carry (including upward pulling):     20 pounds
Frequently (frequently is cumulatively more than 1/3 up to 2/3 of an 8 hour day)
lift and/or carry (including upward pulling):     10 pounds
Stand and/or walk (with normal breaks) for a total of:     About 6 hours in an 8-
hour workday
",11.0
"y
",11.0
"Back to top 11 of 15: 1A: Disability Determination Explanation - DDE
Sit (with normal breaks) for a total of: About 6 hours in an 8-hour workday
Push and/or pull (including operation of hand and/or foot controls): Unlimited,
other than shown, for lift and/or carry
Does the individual have postural limitations? Yes
Rate the individual's postural limitations: Climbing Ramps/stairs: Frequently
Climbing Ladders/ropes/scaffolds: Frequently Balancing: Unlimited Stooping (i.e.,
bending at the waist): Unlimited Kneeling: Frequently Crouching (i.e., bending at
the knees): Frequently Crawling: Frequently
Does the individual have manipulative limitations? No
Does the individual have visual limitations? No
Does the individual have communicative limitations? 12 of 15: 1A: Disability
Determination Expla",12.0
"ual have communicative limitations? 12 of 15: 1A: Disability
Determination Explanation - DDE
No
Does the individual have environmental limitations? No
RFC - Additional Explanation INITIAL: Claimant is 57 years old with allegations of
past MVA, hip, neck and back pain, body numbness and insomnia. Claimant was
in MVA in 2012. 2013 MRI - C-SPINE: R paracentral disc herniation C4-C5 w/R sided
narrowing MRI - LUMBAR - R paracentral disc herniation L5-S1 9/2022 R HIP X-
RAY: arthritis changes in R hip w/increased sclerosis decreased joint space 9/2022
EXAM: Sits in chair without distress; c/o pain improved by rest; ambulating
without assistive devices; WT-69.85kg; BMI: 24.9; B/P-126/86; GAIT: WNL;
Coordination: WNL; HIP EXAM: Flex-120; Adduction: 15; Extension-20; Abduction:
40; IR: 5/5; Strengt",12.0
"HIP EXAM: Flex-120; Adduction: 15; Extension-20; Abduction:
40; IR: 5/5; Strength: L/E: 5/5; Normal sensation bilaterally; Vasculature: 2+; DTR
LE: Patellar 2+/2+; Achilles: 2+/2+; DX: Avascular Necrosis bone of R hip 1/2023 - C/
O R hip pain; interested in surgery; exam intact distally; R Hip Flex to 90 degrees;
no deformity or tenderness; R LE neurovascularly intact; 2+ DP pulse; DX:
Osteoarthritis, R hip 4/2023 POST OP Visit - S/P R total hip arthroplasty on surgery
of 2/8/23; not in PT; no longer taking anything for pain control; using cane; happy
w/progress; stable gait; incision healed nicely; R LE NVI, 2+ DP pulse; +EHL/FHL/
GSC/TA; Sensation intact to light touch; no calf pain; negative Homan's; did not
need anything for pain ADL - lives w/family; takes care of children; some perso",12.0
"
need anything for pain ADL - lives w/family; takes care of children; some personal
",12.0
"care issues; prepares meals; does laundry, dishes, ironing; walks, drives, shops,
pays bills, plays chess, watches TV and sports, reads, socializes
These findings complete the medical portion of the disability determination.
MC/PC Signature
Dr. Eleanor Vance (019) 04/28/2023
ASSESSMENT OF POLICY ISSUES - CONTINUED
RECONCILING MEDICAL OPINIONS
There is no indication that there is a medical opinion from any medical source.
Back to top
ASSESSMENT OF VOCATIONAL
FACTORS
ASSESSMENT OF THE INDIVIDUAL'S ABILITY TO
PERFORM PAST RELEVANT WORK
A finding about the capacity for PRW has not been made. However, this
information is not material because all potentially applicable Medical-Vocational
Guidelines would direct a finding of ""not disabled"" given the individual's age,
education, and RFC. Therefore",13.0
"ding of ""not disabled"" given the individual's age,
education, and RFC. Therefore, the individual can adjust to other work.
Past Relevant Work: Past Relevant Work is expedited.
Additional Past Work Titles:
Job Title:    Car crusher
Start Date:   MAY 2019
End Date:     JUNE 2020
",13.0
"APPLICATION OF MEDICAL - VOCATIONAL RULES:
Other Work
Past Relevant Work is expedited.
Is the individual limited to unskilled work because of the impairments? No
Based on the seven strength factors of the physical RFC (lifting/carrying, standing,
walking, sitting, pushing, and pulling), the individual demonstrates the maximum
sustained work capability for the following:
LIGHT
Indicate the rule used to direct a determination or as a framework.
202.14 - Cl App Adv Age HS Skilled-Semi No Trans
Select one of the following: 14 of 15: 1A: Disability Determination Explanation -
DDE
Vocational Rule Directs
DETERMINATION
Based on the documented findings, select the determination: Not Disabled
Is there medical evidence of DAA?     There is no evidence of any substance abuse
disorder/DAA issue
    DI",14.0
"f DAA?     There is no evidence of any substance abuse
disorder/DAA issue
    DI Claim/279362993
Indicate which of the following Acquiescence Rulings are applicable     None of the
ARs considered apply to this claim
REGULATION BASIS CODE (RBC)
Regulation Basis Code:
    N32-20CFR416.920(g)-CLAIMANT AGE 18 OR OLDER
PERSONALIZED DISABILITY EXPLANATION (PDE)
PDE Text:     
",14.0
"SIGNATURES
MC/PC Signature
    Dr. Eleanor Vance (019)     04/28/2023
Disability Adjudicator/Examiner Signature:
Back to top 15 of 15: 1A: Disability Determination Explanation - DDE
Jane Doe 04/28/2023 eCAT version: 10.11.32
Back to top
",15.0
"1 of 1: 2A: National Benefit Agency Determination Transmittal - 777
NATIONAL BENEFITS AGENCY
DISABILITY DETERMINATION AND TRANSMITTAL
DESTINATION 2. NBA CODE 3. FILING DATE 4. SSN DDS ODO DRS DQB
INTPSC SOF 7/14/22 456-12-7890 X ☐ ☐ ☐ ☐
BIC (if CDB or DWB CLAIM)
NAME AND ADDRESS OF CLAIMANT (include ZIP Code) 6. WE'S NAME (if
CDB or DWB CLAIM) ARTHUR MILLER 789 OAK AVE CHICAGO, IL 60601-1001
TYPE CLAIM (Title II) DIB FZ DWB CDB-R CDB-D RD-R RD-D RD P-R P-D MQFE
☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐
TYPE CLAIM (Title XVI) DI DS DC BI BS BC AI AS X ☐ ☐ ☐ ☐ ☐ ☐ ☐ ☐
DATE OF BIRTH 10. PRIOR ACTION 11. REMARKS 05/21/1965 PD ☐ PT ☐ Ref
Agy 8/29/22
DISTRICT-BRANCH OFFICE ADDRESS (include Zip Code) DO-BO NATIONAL
BENEFITS AGENCY CODE Suite 375 373 Metropolis, MI 48201
DO-BO REPRESENTATIVE 14. DATE 11A. Presumptive",16.0
